x,y,z,xt,yt,zt
0.276794, 0.097930, -0.855749, , , 
-0.119117, -0.420774, -1.374949, , , 
-0.695004, 0.012623, -0.977184, , , 
-0.379642, -0.014498, -1.015080, , , 
-0.528421, 0.178224, -0.838819, , , 
-0.747945, -0.524303, -1.549143, , , 
-0.827537, -0.476568, -1.434395, , , 
0.399415, -0.042951, -1.294441, , , 
0.189518, 0.153421, -0.801828, , , 
0.390135, -0.139050, -1.106032, , , 
-0.505803, -1.412190, -3.187650, , , 
-0.214798, -0.242761, -1.132045, , , 
0.691161, -0.194023, -0.970399, , , 
-0.379631, -0.013295, -1.012069, , , 
-0.675363, -0.036365, -1.027549, , , 
-0.133001, -0.076277, -0.934726, , , 
-0.058492, 0.069960, -0.876842, , , 
0.524627, -0.164771, -1.109537, , , 
-0.183603, -0.316339, -1.245510, , , 
-0.840415, -0.189548, -1.277279, , , 
-0.081121, -0.138153, -1.089128, , , 
-0.172320, -0.425513, -1.394705, , , 
-0.286212, -0.044514, -0.823599, , , 
-1.016068, -0.454960, -1.446687, , , 
0.193678, 0.239020, -0.743434, , , 
0.495707, -0.085166, -1.042369, , , 
0.104495, 0.023632, -0.993682, , , 
0.073280, -1.437330, -2.336271, , , 
-0.776277, -1.141330, -2.508362, , , 
-0.527281, -0.442665, -1.446590, , , 
0.137212, 0.133692, -0.856913, , , 
0.683038, -0.191366, -0.937818, , , 
-0.108709, -0.473341, -1.470877, , , 
-0.232535, -0.259347, -1.241726, , , 
-0.359871, -0.386289, -1.351924, , , 
0.788917, -0.195191, -0.967650, , , 
0.010643, -0.071563, -0.885930, , , 
-0.861451, -0.419791, -1.386920, , , 
0.619723, -0.653646, -1.084500, , , 
-0.998318, -0.890378, -1.954543, , , 
-0.149884, 0.028595, -0.867258, , , 
-0.095519, -0.093611, -0.806531, , , 
-0.368890, -1.129883, -2.456698, , , 
-0.518401, -0.282603, -1.274426, , , 
-0.198854, 0.096703, -0.726183, , , 
0.007090, -0.035877, -0.928118, , , 
-0.509068, -0.095306, -1.066305, , , 
-0.191198, -0.368245, -1.287217, , , 
-0.501801, -0.316124, -1.254460, , , 
-0.176842, -0.074863, -0.918941, , , 
-0.936247, -0.212239, -1.261613, , , 
0.387364, -0.655592, -1.056310, , , 
-0.545248, -0.392756, -1.455283, , , 
-0.107469, 0.065783, -0.868872, , , 
-0.742828, -0.512073, -1.462926, , , 
-0.603853, -0.033407, -1.019696, , , 
-0.253358, -0.003657, -0.706668, , , 
-0.694365, 0.013910, -0.974413, , , 
-0.959608, -0.516541, -1.518420, , , 
-0.919494, -0.576388, -1.569913, , , 
-1.196197, -1.358611, -2.764279, , , 
0.025236, -0.452299, -0.662609, , , 
-0.691103, 0.009774, -0.973996, , , 
-0.092244, -0.150909, -1.036179, , , 
-0.090682, -0.038728, -0.869885, , , 
0.592006, -0.172341, -1.110590, , , 
-0.377685, 0.152262, -0.877003, , , 
-0.485113, 0.171407, -0.831350, , , 
0.338615, -0.597685, -1.047139, , , 
-0.128576, -0.067978, -0.915340, , , 
-0.943041, -0.193872, -1.289951, , , 
0.397336, -0.034361, -1.111786, , , 
0.702216, -0.192550, -0.941379, , , 
-0.091526, -0.038283, -0.874193, , , 
0.534154, 0.134628, -0.831420, , , 
0.500129, -0.093414, -1.057613, , , 
1.921610, -1.933627, -2.162891, , , 
1.358017, -1.396940, -2.247283, , , 
0.940965, -1.166517, -1.783516, , , 
-1.228059, -1.090367, -2.235012, , , 
-0.027415, 0.222703, -0.802614, , , 
-0.085608, -0.157968, -1.019196, , , 
-1.126445, -1.364556, -2.781795, , , 
-1.130239, -1.282663, -2.516633, , , 
-0.011393, -0.094028, -1.075097, , , 
-1.209590, -1.367278, -2.776841, , , 
-0.243365, 0.158445, -0.850855, , , 
-0.257201, 0.137293, -0.835391, , , 
0.605371, -0.017094, -0.993973, , , 
-0.025131, -0.433373, -1.381488, , , 
0.688870, -0.021457, -1.001001, , , 
0.188608, 0.122050, -0.885869, , , 
-1.360553, -1.638891, -2.864174, , , 
-0.325934, 0.013974, -1.046496, , , 
1.072030, -1.321770, -2.113029, , , 
-0.005716, -0.505340, -1.333871, , , 
0.910245, -1.752530, -2.672539, , , 
-0.027205, -0.246877, -1.065098, , , 
-0.279786, -1.083911, -2.278095, , , 
0.930081, -0.553034, -1.176904, , , 
0.689565, -0.028042, -0.986017, , , 
0.283179, -0.058045, -1.128396, , , 
-0.659876, -0.403953, -1.360086, , , 
